"location","doy","hour","soil.moist"
"deciduous",194,5,0.319863757222222
"deciduous",194,6,0.319881558444444
"deciduous",194,7,0.319368320444444
"deciduous",194,8,0.319085293666667
"deciduous",194,9,0.318274856666667
"deciduous",194,10,0.316894152888889
"deciduous",194,11,0.315218551888889
"deciduous",194,12,0.313463706333333
"deciduous",194,13,0.311320656333333
"deciduous",194,14,0.29936017427027
"deciduous",194,15,0.289247314444444
"deciduous",194,16,0.287183100222222
"deciduous",194,17,0.285069543
"deciduous",194,18,0.283840894666667
"deciduous",194,19,0.282666065333333
"deciduous",194,20,0.281472855777778
"deciduous",194,21,0.281184854222222
"deciduous",194,22,0.281009123555556
"deciduous",194,23,0.280592843666667
"deciduous",195,0,0.280417853444444
"deciduous",195,1,0.280273188111111
"deciduous",195,2,0.279968222888889
"deciduous",195,3,0.279958398
"deciduous",195,4,0.279434643555556
"deciduous",195,5,0.279190115888889
"deciduous",195,6,0.279079046
"deciduous",195,7,0.279208245777778
"deciduous",195,8,0.279142492777778
"deciduous",195,9,0.278765164555556
"deciduous",195,10,0.277839518555555
"deciduous",195,11,0.276918980555556
"deciduous",195,12,0.275793404333333
"deciduous",195,13,0.274403631777778
"deciduous",195,14,0.273185509888889
"deciduous",195,15,0.272034630777778
"deciduous",195,16,0.270567858666667
"deciduous",195,17,0.268936684666667
"deciduous",195,18,0.267676196333333
"deciduous",195,19,0.266698928333333
"deciduous",195,20,0.265841462666667
"deciduous",195,21,0.265075064333333
"deciduous",195,22,0.264456904333333
"deciduous",195,23,0.263892682666667
"deciduous",196,0,0.263741872666667
"deciduous",196,1,0.263965108111111
"deciduous",196,2,0.263916521444444
"deciduous",196,3,0.263669036111111
"deciduous",196,4,0.263638687666667
"deciduous",196,5,0.264218219888889
"deciduous",196,6,0.264811489333333
"deciduous",196,7,0.265469301222222
"deciduous",196,8,0.265759748444444
"deciduous",196,9,0.265437708333333
"deciduous",196,10,0.264257656333333
"deciduous",196,11,0.262640230555556
"deciduous",196,12,0.261385432888889
"deciduous",196,13,0.260454741222222
"deciduous",196,14,0.259024980222222
"deciduous",196,15,0.257273780777778
"deciduous",196,16,0.256116874777778
"deciduous",196,17,0.254860212111111
"deciduous",196,18,0.253538389111111
"deciduous",196,19,0.252610667444444
"deciduous",196,20,0.252959480888889
"deciduous",196,21,0.252125173333333
"deciduous",196,22,0.252227478222222
"deciduous",196,23,0.252005634777778
"deciduous",197,0,0.251712531777778
"deciduous",197,1,0.251330148666667
"deciduous",197,2,0.251176819111111
"deciduous",197,3,0.251251193444444
"deciduous",197,4,0.250678368444444
"deciduous",197,5,0.249248842888889
"deciduous",197,6,0.249281397111111
"deciduous",197,7,0.250427134
"deciduous",197,8,0.250092146444444
"deciduous",197,9,0.249715480888889
"deciduous",197,10,0.249257668111111
"deciduous",197,11,0.248857544666667
"deciduous",197,12,0.248120176333333
"deciduous",197,13,0.247032848444444
"deciduous",197,14,0.246133457222222
"deciduous",197,15,0.244853409111111
"deciduous",197,16,0.243842781666667
"deciduous",197,17,0.243153127333333
"deciduous",197,18,0.241792212555556
"deciduous",197,19,0.240971604333333
"deciduous",197,20,0.240223478888889
"deciduous",197,21,0.239594271
"deciduous",197,22,0.239012140333333
"deciduous",197,23,0.238580724888889
"deciduous",198,0,0.238187879222222
"deciduous",198,1,0.238072360222222
"deciduous",198,2,0.237928706
"deciduous",198,3,0.237816173555556
"deciduous",198,4,0.237559634333333
"deciduous",198,5,0.237266512222222
"deciduous",198,6,0.236894348555556
"deciduous",198,7,0.236847296555556
"deciduous",198,8,0.237103785777778
"deciduous",198,9,0.237144088333333
"deciduous",198,10,0.236991132666667
"deciduous",198,11,0.236441471333333
"deciduous",198,12,0.235720243333333
"deciduous",198,13,0.234718709444444
"deciduous",198,14,0.233453440666667
"deciduous",198,15,0.232290462111111
"deciduous",198,16,0.230932277333333
"deciduous",198,17,0.229619373
"deciduous",198,18,0.228599731222222
"deciduous",198,19,0.227755989111111
"deciduous",198,20,0.227067958111111
"deciduous",198,21,0.226588296777778
"deciduous",198,22,0.226317630222222
"deciduous",198,23,0.226135588333333
"deciduous",199,0,0.226083674555556
"deciduous",199,1,0.225740087555556
"deciduous",199,2,0.225311532555556
"deciduous",199,3,0.225209098333333
"deciduous",199,4,0.224933763888889
"deciduous",199,5,0.224574556888889
"deciduous",199,6,0.224517766888889
"deciduous",199,7,0.224593703333333
"deciduous",199,8,0.225123914888889
"deciduous",199,9,0.228597020444444
"deciduous",199,10,0.245413341
"deciduous",199,11,0.321261273333333
"deciduous",199,12,0.343444919222222
"deciduous",199,13,0.347707939666667
"deciduous",199,14,0.34976755
"deciduous",199,15,0.35138952
"deciduous",199,16,0.352431661888889
"deciduous",199,17,0.352810265111111
"deciduous",199,18,0.352768975222222
"deciduous",199,19,0.352947546222222
"deciduous",199,20,0.353494893222222
"deciduous",199,21,0.354072470777778
"deciduous",199,22,0.354502044222222
"deciduous",199,23,0.354795835
"deciduous",200,0,0.355639869333333
"deciduous",200,1,0.357595858444444
"deciduous",200,2,0.359016979222222
"deciduous",200,3,0.359831586111111
"deciduous",200,4,0.360242248444444
"deciduous",200,5,0.360386326555555
"deciduous",200,6,0.360589691777778
"deciduous",200,7,0.360858524666667
"deciduous",200,8,0.361006037888889
"deciduous",200,9,0.361241525777778
"deciduous",200,10,0.360774714888889
"deciduous",200,11,0.360230513222222
"deciduous",200,12,0.359449819111111
"deciduous",200,13,0.358413469444444
"deciduous",200,14,0.357217022888889
"deciduous",200,15,0.355882166777778
"deciduous",200,16,0.354610467666667
"deciduous",200,17,0.353167032555556
"deciduous",200,18,0.352112491111111
"deciduous",200,19,0.351311981888889
"deciduous",200,20,0.350618170666667
"deciduous",200,21,0.350169778777778
"deciduous",200,22,0.349825515111111
"deciduous",200,23,0.349481623888889
"deciduous",201,0,0.349411103222222
"deciduous",201,1,0.348999414333333
"deciduous",201,2,0.349085630888889
"deciduous",201,3,0.348748953888889
"deciduous",201,4,0.348446914888889
"deciduous",201,5,0.348197469222222
"deciduous",201,6,0.347967393444444
"deciduous",201,7,0.347778163333333
"deciduous",201,8,0.347465773666667
"deciduous",201,9,0.348639324666667
"deciduous",201,10,0.349656538555556
"deciduous",201,11,0.348904164444444
"deciduous",201,12,0.347809661888889
"deciduous",201,13,0.345258477111111
"deciduous",201,14,0.340770516444444
"deciduous",201,15,0.338561016111111
"deciduous",201,16,0.336364026333333
"deciduous",201,17,0.333850278888889
"deciduous",201,18,0.331897833555556
"deciduous",201,19,0.330120932888889
"deciduous",201,20,0.328959821888889
"deciduous",201,21,0.328226605111111
"deciduous",201,22,0.327372229
"deciduous",201,23,0.326449825111111
"deciduous",202,0,0.325894973777778
"deciduous",202,1,0.325518869
"deciduous",202,2,0.325016167333333
"deciduous",202,3,0.324808077888889
"deciduous",202,4,0.325331128444444
"deciduous",202,5,0.324255656666667
"deciduous",202,6,0.324582353555555
"deciduous",202,7,0.324010291666667
"deciduous",202,8,0.323592569777778
"deciduous",202,9,0.322627149444444
"deciduous",202,10,0.321366505111111
"deciduous",202,11,0.31965407
"deciduous",202,12,0.317150400777778
"deciduous",202,13,0.314775467111111
